Name,Symbol,Total gain/loss,Total gain/loss_Currency,Total gain/loss %,Holding value,Holding value_Currency
Dhampur Sugar Mills Ltd,DHAMPURSUG:NSI,"4,306.80",INR,11.26,n/a,n/a
Dhanlaxmi Bank Ltd,DHANBANK:NSI,-169.20,INR,-0.8075,n/a,n/a
DIC India Ltd,DICIND:NSI,635.00,INR,6.50,n/a,n/a
DIGJAM Ltd,DIGJAMLTD:NSI,195.00,INR,9.26,n/a,n/a
D-Link India Ltd,DLINKINDIA:NSI,"1,181.05",INR,14.19,n/a,n/a
Donear Industries Ltd,DONEAR:NSI,974.40,INR,7.46,n/a,n/a
Dredging Corporation of India Ltd,DREDGECORP:NSI,"-1,007.50",INR,-2.95,n/a,n/a
Dwarikesh Sugar Industries Ltd,DWARKESH:NSI,"4,609.00",INR,17.61,n/a,n/a
Dynamatic Technologies Ltd,DYNAMATECH:NSI,-749.70,INR,-2.49,n/a,n/a
ECE Industries Ltd,ECEIND:NSI,-31.20,INR,-0.9468,n/a,n/a
Educomp Solutions Ltd,EDUCOMP:NSI,-150.15,INR,-9.24,n/a,n/a
Elecon Engineering Company Ltd,ELECON:NSI,"2,237.50",INR,15.54,n/a,n/a
Electrosteel Castings Ltd,ELECTCAST:NSI,"4,054.50",INR,21.43,n/a,n/a
ELGI Rubber Co Ltd,ELGIRUBCO:NSI,105.45,INR,2.24,n/a,n/a
Energy Development Company Ltd,ENERGYDEV:NSI,79.50,INR,3.60,n/a,n/a
Eros International Media Ltd,EROSMEDIA:NSI,966.00,INR,2.18,n/a,n/a
ESAB India Ltd,ESABINDIA:NSI,"3,806.30",INR,15.13,n/a,n/a
Ess Dee Aluminium Ltd,ESSDEE:NSI,-110.05,INR,-3.90,n/a,n/a
Eveready Industries India Ltd,EVEREADY:NSI,"5,256.90",INR,10.96,n/a,n/a
Everest Industries Ltd,EVERESTIND:NSI,"5,166.30",INR,44.20,n/a,n/a
Everest Kanto Cylinder Ltd,EKC:NSI,"1,762.50",INR,21.40,n/a,n/a
Excel Industries Ltd,EXCELINDUS:NSI,"1,712.20",INR,14.60,n/a,n/a
Flexituff International Ltd,FLEXITUFF:NSI,154.00,INR,3.70,n/a,n/a
Foseco India Ltd,FOSECOIND:NSI,756.00,INR,4.11,n/a,n/a
Future Enterprises Ltd,FEL:NSI,"-1,302.75",INR,-2.64,n/a,n/a
Gabriel India Ltd,GABRIEL:NSI,512.00,INR,0.8116,n/a,n/a
Gammon India Ltd,GAMMONIND:NSI,-493.80,INR,-9.23,n/a,n/a
Gammon Infrastructure Projects Ltd,GAMMNINFRA:NSI,-209.80,INR,-3.39,n/a,n/a
Garware Wall Ropes Ltd,GARWALLROP:NSI,791.35,INR,1.84,n/a,n/a
Gateway Distriparks Ltd,GDL:NSI,"2,843.50",INR,5.15,n/a,n/a
Gati Ltd,GATI:NSI,"1,988.25",INR,7.72,n/a,n/a
Gayatri Projects Ltd,GAYAPROJ:NSI,"3,792.00",INR,5.38,n/a,n/a
Geojit Financial Services Ltd,GEOJITFSL:NSI,"6,547.20",INR,10.06,n/a,n/a
GHCL Ltd,GHCL:NSI,"10,918.80",INR,24.01,n/a,n/a
Gitanjali Gems Ltd,GITANJALI:NSI,435.60,INR,2.53,n/a,n/a
Global Offshore Services Ltd,GLOBOFFS:NSI,486.75,INR,26.11,n/a,n/a
Gokaldas Exports Ltd,GOKEX:NSI,"1,497.60",INR,17.87,n/a,n/a
Graphite India Ltd,GRAPHITE:NSI,"34,060.50",INR,21.07,n/a,n/a
GTN Industries Ltd,GTNIND:NSI,29.25,INR,4.48,n/a,n/a
Gujarat Ambuja Exports Ltd,GAEL:NSI,"5,750.25",INR,15.91,n/a,n/a
Gujarat Industries Power Company Ltd,GIPCL:NSI,"3,370.00",INR,7.71,n/a,n/a
Gujarat NRE Coke Ltd,GUJNRECOKE:NSI,178.70,INR,3.23,n/a,n/a
GVK Power & Infrastructure Ltd,GVKPIL:NSI,"5,980.60",INR,14.53,n/a,n/a
Harrisons Malayalam Ltd,HARRMALAYA:NSI,178.35,INR,5.93,n/a,n/a
HCL Infosystems Ltd,HCL-INSYS:NSI,24.85,INR,0.1054,n/a,n/a
HEG Ltd,HEG:NSI,"28,382.10",INR,34.17,n/a,n/a
Heritage Foods Ltd,HERITGFOOD:NSI,"56,950.20",INR,7.54,n/a,n/a
Hikal Ltd,HIKAL:NSI,"8,390.55",INR,21.63,n/a,n/a
Himachal Futuristic Communications Ltd,HFCL:NSI,"11,044.00",INR,16.60,n/a,n/a
Hinduja Ventures Ltd,HINDUJAVEN:NSI,593.40,INR,2.70,n/a,n/a
Hindustan Media Ventures Ltd,HMVL:NSI,-798.70,INR,-1.95,n/a,n/a
Hindustan Oil Exploration Company Ltd,HINDOILEXP:NSI,698.40,INR,2.75,n/a,n/a
Honda Siel Power Products Ltd,HONDAPOWER:NSI,573.85,INR,1.91,n/a,n/a
HSIL Ltd,HSIL:NSI,"9,257.50",INR,14.79,n/a,n/a
HT Media Ltd,HTMEDIA:NSI,"4,636.10",INR,9.55,n/a,n/a
Hubtown Ltd,HUBTOWN:NSI,858.60,INR,4.92,n/a,n/a
I G Petrochemicals Ltd,IGPL:NSI,"7,841.85",INR,18.19,n/a,n/a
IFB Industries Ltd,IFBIND:NSI,"17,014.50",INR,26.19,n/a,n/a
Igarashi Motors India Ltd,IGARASHI:NSI,"-1,397.40",INR,-2.28,n/a,n/a
IL&FS Engineering and Construction Co Ltd,FSENGG:NSI,598.60,INR,6.32,n/a,n/a
