Name,Symbol,Total gain/loss,Total gain/loss_Currency,Total gain/loss %,Holding value,Holding value_Currency
Southern Petrochemical Industries Corporation Ltd,SPIC:NSI,"1,974.90",INR,13.06,n/a,n/a
Sri Adhikari Brothers Television Network Ltd,SABTN:NSI,"-3,042.00",INR,-48.33,n/a,n/a
Srikalahasthi Pipes Ltd,SRIPIPES:NSI,"2,710.05",INR,10.16,n/a,n/a
Standard Industries Ltd,SIL:NSI,486.20,INR,15.04,n/a,n/a
Star Paper Mills Ltd,STARPAPER:NSI,605.50,INR,10.00,n/a,n/a
State Trading Corporation of India Ltd,STCINDIA:NSI,"2,512.50",INR,12.01,n/a,n/a
Sterling Biotech Ltd,STERLINBIO:NSI,454.50,INR,22.06,n/a,n/a
Subros Ltd,SUBROS:NSI,"1,788.90",INR,5.62,n/a,n/a
Sudarshan Chemical Industries Ltd,SUDARSCHEM:NSI,"1,208.90",INR,2.11,n/a,n/a
Summit Securities Ltd,SUMMITSEC:NSI,"2,542.80",INR,15.24,n/a,n/a
Sundaram Brake Linings Ltd,SUNDRMBRAK:NSI,"1,270.35",INR,26.10,n/a,n/a
Sunteck Realty Ltd,SUNTECK:NSI,"3,343.90",INR,3.81,n/a,n/a
Supreme Infrastructure India Ltd,SUPREMEINF:NSI,994.65,INR,21.91,n/a,n/a
Surya Lakshmi Cotton Mills Ltd,SURYALAXMI:NSI,190.55,INR,6.06,n/a,n/a
Surya Roshni Ltd,SURYAROSNI:NSI,"2,650.90",INR,9.15,n/a,n/a
Suven Life Sciences Ltd,SUVEN:NSI,"12,382.40",INR,24.63,n/a,n/a
Swaraj Engines Ltd,SWARAJENG:NSI,-355.60,INR,-0.6248,n/a,n/a
Syncom Healthcare Ltd,SYNCOM:NSI,8.90,INR,2.02,n/a,n/a
TAJ GVK Hotels and Resorts Ltd,TAJGVK:NSI,-791.00,INR,-3.27,n/a,n/a
Take Solutions Ltd,TAKE:NSI,"1,173.15",INR,2.58,n/a,n/a
Tamilnadu Newsprint & Papers Ltd,TNPL:NSI,-269.50,INR,-0.5022,n/a,n/a
Tamilnadu Petroproducts Ltd,TNPETRO:NSI,"1,020.00",INR,7.68,n/a,n/a
Tata Coffee Ltd,TATACOFFEE:NSI,457.60,INR,0.7249,n/a,n/a
Tata Metaliks Ltd,TATAMETALI:NSI,"2,732.80",INR,7.40,n/a,n/a
Tata Sponge Iron Ltd,TATASPONGE:NSI,"2,628.20",INR,9.12,n/a,n/a
TD Power Systems Ltd,TDPOWERSYS:NSI,444.00,INR,2.98,n/a,n/a
Texmaco Rail & Engineering Ltd,TEXRAIL:NSI,220.05,INR,0.4552,n/a,n/a
Thiru Arooran Sugars Ltd,THIRUSUGAR:NSI,90.00,INR,6.38,n/a,n/a
Thirumalai Chemicals Ltd,TIRUMALCHM:NSI,"8,512.30",INR,25.08,n/a,n/a
Tide Water Oil Co India Ltd,TIDEWATER:NSI,"-1,108.00",INR,-2.17,n/a,n/a
Tilaknagar Industries Ltd,TI:NSI,-97.30,INR,-2.33,n/a,n/a
Time Technoplast Ltd,TIMETECHNO:NSI,"-1,184.40",INR,-1.21,n/a,n/a
Tinplate Company of India Ltd,TINPLATE:NSI,"8,830.70",INR,16.50,n/a,n/a
Tips Industries Ltd,TIPSINDLTD:NSI,75.20,INR,3.36,n/a,n/a
Tourism Finance Corporation of India Ltd,TFCILTD:NSI,54.00,INR,0.2113,n/a,n/a
Transport Corporation of India Ltd,TCI:NSI,"1,444.95",INR,3.13,n/a,n/a
Tree House Education and Accessories Ltd,TREEHOUSE:NSI,-4.70,INR,-0.3597,n/a,n/a
Tribhovandas Bhimji Zaveri Ltd,TBZ:NSI,"1,691.15",INR,9.91,n/a,n/a
Trigyn Technologies Ltd,TRIGYN:NSI,341.70,INR,5.44,n/a,n/a
Triveni Engineering and Industries Ltd,TRIVENI:NSI,"4,628.75",INR,9.44,n/a,n/a
TV Today Network Ltd,TVTODAY:NSI,505.40,INR,1.09,n/a,n/a
TVS Srichakra Ltd,TVSSRICHAK:NSI,704.65,INR,1.35,n/a,n/a
UCAL Fuel Systems Ltd,UCALFUEL:NSI,465.50,INR,5.18,n/a,n/a
Uflex Ltd,UFLEX:NSI,"6,319.25",INR,9.11,n/a,n/a
Unichem Laboratories Ltd,UNICHEMLAB:NSI,"1,451.45",INR,2.93,n/a,n/a
Unitech Ltd,UNITECH:NSI,"-5,244.30",INR,-12.95,n/a,n/a
Unity Infraprojects Ltd,UNITY:NSI,-13.45,INR,-0.9346,n/a,n/a
Usha Martin Ltd,USHAMART:NSI,"1,493.80",INR,8.98,n/a,n/a
Uttam Sugar Mills Ltd,UTTAMSUGAR:NSI,"1,564.00",INR,10.65,n/a,n/a
V I P Industries Ltd,VIPIND:NSI,"3,480.75",INR,4.42,n/a,n/a
V L S Finance Ltd,VLSFINANCE:NSI,"1,500.70",INR,24.72,n/a,n/a
V2 Retail Ltd,V2RETAIL:NSI,"7,717.65",INR,27.42,n/a,n/a
Vaibhav Global Ltd,VAIBHAVGBL:NSI,616.85,INR,1.54,n/a,n/a
Value Industries Ltd,VALUEIND:NSI,-13.05,INR,-2.04,n/a,n/a
Vardhman Holdings Ltd,VHL:NSI,630.70,INR,2.74,n/a,n/a
Vardhman Polytex Ltd,VARDMNPOLY:NSI,-170.00,INR,-9.70,n/a,n/a
Venky's (India) Ltd,VENKEYS:NSI,"11,301.05",INR,18.22,n/a,n/a
Vesuvius India Ltd,VESUVIUS:NSI,715.50,INR,1.20,n/a,n/a
Viceroy Hotels Ltd,VICEROY:NSI,-103.40,INR,-5.87,n/a,n/a
Vindhya Telelinks Ltd,VINDHYATEL:NSI,"4,117.10",INR,13.81,n/a,n/a
Vinyl Chemicals India Ltd,VINYLINDIA:NSI,260.35,INR,8.56,n/a,n/a
Visagar Polytex Ltd,VIVIDHA:NSI,0.00,INR,0.00,n/a,n/a
Welspun Corp Ltd,WELCORP:NSI,"1,447.95",INR,1.85,n/a,n/a
West Coast Paper Mills Ltd,WSTCSTPAPR:NSI,"1,300.95",INR,5.08,n/a,n/a
Wheels India Ltd,WHEELS:NSI,218.70,INR,0.551,n/a,n/a
Windsor Machines Ltd,WINDMACHIN:NSI,377.00,INR,4.64,n/a,n/a
Zandu Realty Ltd,ZANDUREALT:NSI,102.70,INR,4.16,n/a,n/a
Zee Learn Ltd,ZEELEARN:NSI,"2,166.00",INR,6.98,n/a,n/a
Zee Media Corporation Ltd,ZEEMEDIA:NSI,"6,346.45",INR,16.67,n/a,n/a
Zodiac Clothing Company Ltd,ZODIACLOTH:NSI,"1,494.25",INR,18.26,n/a,n/a
Zuari Global Ltd,ZUARIGLOB:NSI,795.30,INR,9.48,n/a,n/a
